Project Name,GitHub URL,Netlify URL,Tiiny Host URL,Vercel URL,Streamlit URL,Custom Domain,Production Stage,Current Status,Last Updated,Notes
website-scraper,https://github.com/IGTA-Tech/website-scraper,N/A,N/A,N/A,N/A,None,Development,Active,2025-11-04,AI-Powered Web Scraper with GPT-4o-mini
innovative-automations-ppm-builder,https://github.com/IGTA-Tech/innovative-automations-ppm-builder,N/A,N/A,N/A,N/A,None,Production,Active,2025-11-03,AI-Powered Private Placement Memorandum Builder SaaS Platform
innovative-automations-investments,https://github.com/IGTA-Tech/innovative-automations-investments,N/A,N/A,N/A,N/A,None,Development,Active,2025-11-03,Investment documentation and materials (Private Repo)
car-speed-analyzer-ultimate,https://github.com/IGTA-Tech/car-speed-analyzer-ultimate,N/A,N/A,N/A,N/A,None,Production,Active,2025-11-02,Educational app for kids to explore car speeds safely
speedcards,https://github.com/IGTA-Tech/speedcards,N/A,N/A,N/A,N/A,None,Production,Active,2025-11-02,Interactive card-based speed learning game
fmc-praise-team,https://github.com/IGTA-Tech/fmc-praise-team,N/A,N/A,N/A,N/A,None,Production,Active,2025-11-02,Worship schedule management system with Google Sheets backend
innovative-automations-investments-try-2,https://github.com/IGTA-Tech/innovative-automations-investments-try-2,N/A,N/A,N/A,N/A,None,Development,Active,2025-11-02,Investment documents and PPM references (Private Repo)
FMC-chord-video,https://github.com/IGTA-Tech/FMC-chord-video,N/A,N/A,N/A,N/A,None,Development,Active,2025-11-01,FMC Chord Video Generation System (Private Repo)
lido-proposal,https://github.com/IGTA-Tech/lido-proposal,https://lido-partnership-proposal.netlify.app,N/A,N/A,N/A,None,Production,Active,2025-10-31,Interactive partnership proposal for LIDO - 91% CAC reduction strategy
ssv-content-generator,https://github.com/IGTA-Tech/ssv-content-generator,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-30,Automated blog content generation for Sherrod Sports Visas - Production v6.0
visa-glow-tool,https://github.com/IGTA-Tech/visa-glow-tool,https://visa-glow-tool.netlify.app,N/A,N/A,N/A,None,Development,Active,2025-10-30,Visa application tool with Next.js (Private Repo)
business-fraud-investigation-system,https://github.com/IGTA-Tech/business-fraud-investigation-system,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-30,AI-powered BI & Fraud Detection System analyzing 20+ data sources (Private)
investigator-ai,https://github.com/IGTA-Tech/investigator-ai,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-29,AI-powered business intelligence and fraud detection platform
twitch-video-editor,https://github.com/IGTA-Tech/twitch-video-editor,N/A,N/A,N/A,N/A,None,Development,Active,2025-10-29,Twitch video editing tool
biblical-political-analyzer,https://github.com/IGTA-Tech/biblical-political-analyzer,https://faithandpolicy.com,N/A,N/A,N/A,faithandpolicy.com,Production,Active,2025-10-28,Real-time biblical perspectives analyzer (Private Repo)
placement-investment-proposal,https://github.com/IGTA-Tech/placement-investment-proposal,https://placementsproposal.com,N/A,N/A,N/A,placementsproposal.com,Production,Active,2025-10-24,Investment proposal site with Claude chat function (Private Repo)
landing-page-generator,https://github.com/IGTA-Tech/landing-page-generator,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-24,AI-powered landing page generator with Claude & DALL-E (Streamlit)
ias-investment-proposal-general,https://github.com/IGTA-Tech/ias-investment-proposal-general,https://ias-investment-proposal-general.netlify.app,N/A,N/A,N/A,None,Staging,Active,2025-10-24,General investment proposal (Private Repo)
ias-investment-proposal-v2,https://github.com/IGTA-Tech/ias-investment-proposal-v2,https://ias-investment-proposal-v2.netlify.app,N/A,N/A,N/A,None,Staging,Active,2025-10-24,Investment proposal version 2 (Private Repo)
ias-investment-proposal,https://github.com/IGTA-Tech/ias-investment-proposal,https://ias-investment-proposal.netlify.app,N/A,N/A,N/A,None,Production,Active,2025-10-24,Interactive investment proposal for 250K seed round (Private)
conent-agent,https://github.com/IGTA-Tech/conent-agent,N/A,N/A,N/A,N/A,None,Development,Active,2025-10-22,Content agent JSON template workflows (Private Repo)
multi-brand-email-automation,https://github.com/IGTA-Tech/multi-brand-email-automation,https://multi-brand-email-automation.netlify.app,N/A,N/A,N/A,None,Development,Active,2025-10-22,Multi-brand email automation system
multi-brand-email-automation-igta,https://github.com/IGTA-Tech/multi-brand-email-automation-igta,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-22,Complete multi-brand email automation with AI personalization
Claude-OpenAI-Co-Project-Tool,https://github.com/IGTA-Tech/Claude-OpenAI-Co-Project-Tool,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-22,White-label AI platform with Claude & OpenAI integration
spaces-by-premier,https://github.com/IGTA-Tech/spaces-by-premier,https://spaces-by-premier.netlify.app,N/A,N/A,N/A,None,Production,Active,2025-10-21,Smart Inquiry Management System - event venue booking prototype
investorbloc-app,https://github.com/IGTA-Tech/investorbloc-app,N/A,N/A,N/A,N/A,None,Production,Active,2025-10-17,AI-Powered ROIC Analysis Platform with Claude AI
evaluation-tool-jacksonwink,https://github.com/IGTA-Tech/evaluation-tool-jacksonwink,https://evaluation-tool-jacksonwink.netlify.app,N/A,N/A,N/A,None,Development,Active,2025-10-09,Evaluation tool for Jackson Wink (Private Repo)
sherrod-sports-visas-lead-app,https://github.com/IGTA-Tech/sherrod-sports-visas-lead-app,N/A,N/A,N/A,N/A,None,Development,Active,2025-10-08,Lead generation app for Sherrod Sports Visas (Private Repo)
p2025,https://github.com/IGTA-Tech/p2025,N/A,N/A,https://p2025-theta.vercel.app,N/A,None,Production,Active,2025-09-30,Project 2025 application
openaicodex,https://github.com/IGTA-Tech/openaicodex,N/A,N/A,N/A,N/A,None,Archived,Active,2025-08-21,OpenAI Codex integration project (Private Repo)
